price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
2167280,2222,2,3,1,yes,yes,no,yes,yes,1,yes,semi-furnished
2582203,5034,2,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
3138998,8579,5,3,3,no,yes,no,yes,yes,2,yes,semi-furnished
2364150,5465,3,2,2,no,yes,no,yes,yes,0,no,furnished
3163541,9348,3,3,1,yes,yes,yes,yes,no,2,yes,unfurnished
2974407,9316,5,2,2,yes,yes,yes,no,no,2,yes,unfurnished
3119603,8929,5,3,1,no,no,no,no,no,0,yes,furnished
2523296,4813,5,2,1,no,no,yes,no,no,2,no,semi-furnished
2799854,9164,4,2,1,no,yes,yes,no,yes,0,no,semi-furnished
2993347,5782,4,3,3,no,yes,yes,yes,yes,2,no,unfurnished
2753033,6185,5,2,1,no,yes,no,no,yes,2,yes,furnished
2581922,5749,2,3,2,no,yes,yes,no,yes,2,no,furnished
2367277,4085,2,1,3,yes,no,no,no,no,0,yes,semi-furnished
3284372,7279,5,3,2,yes,no,no,yes,yes,1,yes,semi-furnished
2680578,6557,3,3,2,no,yes,no,no,no,0,no,furnished
2777310,7449,3,1,2,no,no,no,yes,yes,0,yes,unfurnished
3348944,9859,5,3,2,yes,yes,no,no,no,0,yes,semi-furnished
2544330,9235,2,1,1,no,no,yes,yes,no,0,yes,semi-furnished
2347286,5266,2,1,2,yes,yes,yes,yes,no,0,no,semi-furnished
2075755,2271,3,2,3,no,yes,yes,no,no,1,yes,semi-furnished
2913826,9873,4,2,1,no,no,yes,no,yes,1,no,semi-furnished
2724561,8436,2,3,3,no,yes,yes,yes,no,1,no,furnished
2275222,4784,4,3,3,no,no,yes,yes,no,1,no,furnished
2225892,4439,3,2,1,no,no,yes,yes,yes,0,yes,furnished
2797724,8101,4,3,1,yes,no,no,no,no,1,no,furnished
2706541,5451,3,2,3,no,no,no,yes,yes,0,yes,semi-furnished
2806005,4754,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
2803387,7297,5,2,1,yes,no,yes,yes,no,2,no,furnished
2294441,3056,2,1,3,no,no,no,yes,yes,1,yes,semi-furnished
2389887,7190,2,1,2,no,no,yes,no,yes,2,yes,semi-furnished
2334867,4277,3,3,2,yes,yes,yes,yes,no,0,yes,unfurnished
3001202,9891,5,1,1,no,yes,yes,yes,no,0,no,semi-furnished
2023415,2271,3,2,1,yes,no,yes,yes,no,2,yes,semi-furnished
2572443,6075,2,2,2,yes,no,yes,no,no,0,yes,unfurnished
2809420,8257,4,1,2,yes,no,yes,yes,yes,1,no,furnished
2664528,4339,5,1,2,no,yes,yes,yes,yes,1,no,semi-furnished
2589052,6585,5,3,1,no,yes,yes,no,no,0,no,semi-furnished
3262752,7807,5,3,3,yes,no,yes,yes,yes,1,no,semi-furnished
2279329,4208,2,1,2,yes,no,no,yes,no,2,no,furnished
2479188,2209,5,2,3,yes,no,yes,yes,yes,0,yes,semi-furnished
3019382,6025,2,2,1,yes,yes,no,no,yes,2,no,semi-furnished
2707556,5234,2,3,3,no,no,yes,no,yes,0,yes,furnished
2240639,5061,2,1,2,no,yes,yes,yes,yes,2,yes,semi-furnished
2287585,3564,5,3,3,no,no,yes,no,no,0,no,semi-furnished
1935573,2431,3,1,1,no,no,no,yes,yes,0,yes,furnished
2218498,4833,3,1,3,no,yes,no,no,no,1,no,furnished
2436651,4031,4,2,2,yes,no,yes,yes,yes,0,no,semi-furnished
3056490,9287,5,2,1,no,no,no,yes,no,1,yes,unfurnished
2795016,9925,2,3,1,no,yes,no,no,no,2,no,furnished
2918102,8655,3,1,3,yes,yes,yes,yes,yes,1,yes,furnished
3153543,9663,2,2,2,yes,no,no,yes,yes,0,no,unfurnished
2515039,7161,4,2,1,no,yes,yes,yes,no,2,no,unfurnished
2796139,7286,2,2,2,no,yes,yes,yes,yes,1,no,unfurnished
2859216,9488,4,3,3,yes,no,yes,no,no,1,yes,furnished
2667843,7986,5,1,2,no,no,yes,yes,no,0,yes,furnished
2483216,4110,2,3,3,yes,yes,no,yes,yes,0,yes,furnished
3204929,9872,3,2,1,yes,no,no,no,no,0,no,semi-furnished
2383292,4794,3,2,2,yes,yes,no,no,no,2,yes,furnished
2680835,2587,4,2,2,yes,no,yes,no,yes,0,yes,unfurnished
2685934,3481,3,2,1,yes,yes,no,no,yes,2,no,unfurnished
2466618,6417,3,3,1,no,yes,yes,yes,no,2,yes,semi-furnished
2290285,3671,3,2,2,yes,yes,yes,no,no,2,no,semi-furnished
2898664,8763,2,1,1,yes,no,no,no,yes,0,yes,furnished
2920514,7720,2,1,2,no,yes,yes,no,yes,0,no,furnished
3104311,8049,5,1,1,yes,yes,yes,yes,yes,1,no,furnished
3019585,7927,3,2,3,yes,yes,yes,yes,yes,1,no,unfurnished
2653334,6645,3,3,3,no,no,yes,yes,no,2,yes,furnished
2423020,4634,2,3,2,yes,yes,no,no,no,1,yes,unfurnished
2431882,6134,5,1,1,no,no,no,yes,no,0,no,unfurnished
2823799,8998,4,1,3,yes,yes,no,no,no,0,no,furnished
2135089,3537,3,2,2,yes,yes,yes,yes,no,2,no,unfurnished
2567833,4825,3,1,1,yes,no,yes,no,yes,2,yes,furnished
2731250,5161,2,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
1840833,2613,2,1,1,no,yes,no,no,yes,2,yes,unfurnished
2652463,9780,4,2,1,no,no,no,yes,no,2,yes,furnished
2228782,3428,3,3,2,no,no,yes,yes,yes,2,yes,semi-furnished
2602005,6431,2,1,1,no,no,yes,yes,yes,2,yes,semi-furnished
2368371,2723,5,3,2,no,yes,yes,no,no,2,yes,furnished
2355703,2675,3,1,1,no,yes,yes,yes,yes,1,yes,furnished
